species	animal	sp_common	bird_ID	captive_status	sex	Location	Food_deprivation_time	Shyness	Neophobia	tPS1234	lPS1234	tDetour_reaching	lDetour_reaching	tLearning	lLearning	tReversal_learning	lReversal_learning	Bodyweight	Relative_brain_size	Call_rep	lCall_rep	Song_rep	lSong_rep	SongCall_rep	lSongCall_rep	VLC	VLTnum	OCnum	OCsongnum	Mnum	VLT
Spizella_passerina	Spizella_passerina	Chipping sparrow	5	wild	M	Campus field	1.143	0.939147142	0.045539395	11	1.041	13	1.114	27	1.431	28	1.447	1.1	-0.126	3	0.477	1	0.301	4	0.602	-1.52015897	2	0	0	0	Closed
Spizella_passerina	Spizella_passerina	Chipping sparrow	6	wild	M	Campus field	1.143	0.75591598	0.606522953	8.67	0.938	22	1.342	19	1.279	53	1.724	1.086	-0.126	3	0.477	1	0.301	4	0.602	-1.52015897	2	0	0	0	Closed
Spizella_passerina	Spizella_passerina	Chipping sparrow	7	wild	M	Campus field	1.137	1.074297822	0.021763729	8.5	0.929	7	0.845	15	1.176	23	1.362	0.982	-0.126	3	0.477	1	0.301	4	0.602	-1.52015897	2	0	0	0	Closed
Parus_atricapillus	Parus_atricapillus	Black-capped chickadee	10	wild	M	L-shaped field	1.14	1.260238555	0.082937683	4.67	0.669	11	1.041	11	1.041	21	1.322	1.057	0.295	374	2.573	3.5	0.653	377.5	2.577	2.16676699	3	1	0	0	Open
Dendroica_petechia	Dendroica_petechia	Yellow warbler	11	wild	M	L-shaped field	1.134	0.851026609	1.109505921	6.75	0.829	23	1.362	27	1.431	73	1.863	1.009	-0.033	5	0.699	10.55	1.063	15.55	1.192	-0.77805099	2	0	0	0	Closed
Troglodytes_aedon	Troglodytes_aedon	House wren	14	wild	M	Campus field	1.137	0.901380131	0.235870685	11	1.041	21	1.322	47	1.672	52	1.716	1.072	0.008	3	0.477	30	1.491	33	1.519	-0.36674707	2	0	0	0	Closed
Parus_atricapillus	Parus_atricapillus	Black-capped chickadee	17	wild	M	Campus field	1.137	1.146522993	0.78621293	4.75	0.677	19	1.279	8	0.903	25	1.398	1.061	0.295	374	2.573	3.5	0.653	377.5	2.577	2.16676699	3	1	0	0	Open
Troglodytes_aedon	Troglodytes_aedon	House wren	19	wild	M	L-shaped field	1.13	1.654514117	0.734919847	11	1.041	12	1.079	15	1.176	70	1.845	1.025	0.008	3	0.477	30	1.491	33	1.519	-0.36674707	2	0	0	0	Closed
Spizella_passerina	Spizella_passerina	Chipping sparrow	21	wild	M	L-shaped field	1.134	1.581795816	0.17706412	11	1.041	10	1	7	0.845	31	1.491	1.072	-0.126	3	0.477	1	0.301	4	0.602	-1.52015897	2	0	0	0	Closed
Setophaga_ruticilla	Setophaga_ruticilla	American redstart	23	wild	M	L-shaped field	1.124	0.727121255	0.296409144	7.5	0.875	15	1.176	13	1.114	61	1.785	0.916	-0.25	4	0.602	4.35	0.728	8.35	0.922	-1.11765973	2	0	0	0	Closed
Troglodytes_aedon	Troglodytes_aedon	House wren	24	wild	M	L-shaped field	1.134	1.054817521	0.379397089	9	0.954	12	1.079	35	1.544	101	2.004	1.045	0.008	3	0.477	30	1.491	33	1.519	-0.36674707	2	0	0	0	Closed
Troglodytes_aedon	Troglodytes_aedon	House wren	25	wild	M	L-shaped field	1.134	1.426848893	0.23711812	8.5	0.929	7	0.845	17	1.23	43	1.633	1.068	0.008	3	0.477	30	1.491	33	1.519	-0.36674707	2	0	0	0	Closed
Troglodytes_aedon	Troglodytes_aedon	House wren	26	wild	M	L-shaped field	1.134	1.518343084	0.433904546	11	1.041	10	1	32	1.505	67	1.826	1.049	0.008	3	0.477	30	1.491	33	1.519	-0.36674707	2	0	0	0	Closed
Melospiza_melodia	Melospiza_melodia	Song sparrow	27	wild	M	L-shaped field	1.155	0.692344332	0.309004426	7.25	0.86	17	1.23	12	1.079	48	1.681	1.341	0.317	5	0.699	8.88	0.995	13.88	1.142	-0.8409415	2	0	0	0	Closed
Setophaga_ruticilla	Setophaga_ruticilla	American redstart	28	wild	M	L-shaped field	1.137	1.711103508	0.791840986	11	1.041	11	1.041	9	0.954	67	1.826	0.916	-0.25	4	0.602	4.35	0.728	8.35	0.922	-1.11765973	2	0	0	0	Closed
Parus_atricapillus	Parus_atricapillus	Black-capped chickadee	32	wild	M	Trail	1.173	1.494212391	0.527522424	2.5	0.398	12	1.079	17	1.23	27	1.431	1.033	0.295	374	2.573	3.5	0.653	377.5	2.577	2.16676699	3	1	0	0	Open
Parus_atricapillus	Parus_atricapillus	Black-capped chickadee	33	wild	M	Trail	1.176	1.526097609	0.004756674	1.5	0.176	13	1.114	16	1.204	28	1.447	1.068	0.295	374	2.573	3.5	0.653	377.5	2.577	2.16676699	3	1	0	0	Open
Parus_atricapillus	Parus_atricapillus	Black-capped chickadee	37	wild	M	Condo	1.167	0.867086833	0.096762667	3.5	0.544	34	1.531	24	1.38	38	1.58	1.025	0.295	374	2.573	3.5	0.653	377.5	2.577	2.16676699	3	1	0	0	Open
Parus_atricapillus	Parus_atricapillus	Black-capped chickadee	38	wild	M	Trail	1.17	1.461468219	0.119144496	4.75	0.677	15	1.176	15	1.176	30	1.477	1.041	0.295	374	2.573	3.5	0.653	377.5	2.577	2.16676699	3	1	0	0	Open
